Wave,Time,Type,X,Y
1,0,0,660,0
1,20,0,660,60
1,40,0,660,-60
1,60,0,660,30
1,80,0,660,-30
1,100,0,660,0
1,120,0,660,70
1,140,0,660,-70
1,160,0,660,0
2,0,0,660,-120
2,20,0,660,-60
2,40,0,660,-20
2,60,0,660,0
2,80,0,660,20
2,100,0,660,60
2,120,0,660,120
2,160,2,640,0
2,200,0,660,80
2,240,0,660,-80
3,0,0,660,-120
3,20,0,660,-80
3,40,0,660,-40
3,60,0,660,0
3,80,0,660,40
3,100,0,660,80
3,120,0,660,120
3,160,0,660,0
3,200,2,640,60
3,240,2,640,-60
4,0,0,660,0
4,20,0,660,-40
4,40,0,660,-80
4,60,0,660,-120
4,80,0,660,-80
4,100,0,660,-40
4,120,0,660,0
4,140,0,660,40
4,160,0,660,80
4,180,0,660,120
4,220,3,660,0
4,260,3,660,80
5,0,0,660,-100
5,20,0,660,-40
5,40,0,660,40
5,60,0,660,100
5,80,0,660,40
5,100,0,660,-40
5,120,0,660,-100
5,160,0,660,0
5,200,3,660,100
5,240,3,660,-100
5,280,2,640,0
6,0,0,660,-120
6,20,0,660,-60
6,40,0,660,0
6,60,0,660,60
6,80,0,660,120
6,100,0,660,-90
6,120,0,660,-30
6,140,0,660,30
6,160,0,660,90
6,180,0,660,-70
6,200,0,660,70
6,240,3,660,0
6,280,3,660,-80
6,320,2,640,50
7,0,1,660,0
7,100,0,660,-120
7,120,0,660,-80
7,140,0,660,-40
7,160,0,660,0
7,180,0,660,40
7,200,0,660,80
7,220,0,660,120
7,260,3,660,120
7,280,3,660,-120
7,320,3,660,60
7,340,3,660,-60
7,380,2,640,0
7,420,2,640,80
8,0,0,660,-120
8,20,0,660,-100
8,40,0,660,-60
8,60,0,660,-20
8,80,0,660,20
8,100,0,660,60
8,120,0,660,100
8,140,0,660,120
8,160,0,660,-120
8,180,0,660,-80
8,200,0,660,-40
8,220,0,660,0
8,240,0,660,40
8,260,0,660,80
8,300,3,660,0
9,0,0,660,-120
9,20,0,660,-80
9,40,0,660,-40
9,60,0,660,0
9,80,0,660,40
9,100,0,660,80
9,120,0,660,120
9,140,0,660,-100
9,160,0,660,-60
9,180,0,660,-20
9,200,0,660,20
9,220,0,660,60
9,240,0,660,100
9,280,3,660,-80
9,320,3,660,80
10,0,0,660,-120
10,20,0,660,-60
10,40,0,660,0
10,60,0,660,60
10,80,0,660,120
10,100,0,660,-90
10,120,0,660,-30
10,140,0,660,30
10,160,0,660,90
10,180,0,660,-70
10,200,0,660,70
10,220,0,660,-20
10,240,0,660,20
10,260,3,660,120
10,280,3,660,-120
10,320,3,660,80
11,0,0,660,-120
11,20,0,660,-40
11,40,0,660,40
11,60,0,660,120
11,80,0,660,-80
11,100,0,660,0
11,120,0,660,80
11,140,0,660,-60
11,160,0,660,60
11,180,0,660,-20
11,200,0,660,20
11,220,3,660,100
11,240,3,660,-100
11,260,2,640,0
12,0,0,660,-120
12,20,0,660,-80
12,40,0,660,-40
12,60,0,660,0
12,80,0,660,40
12,100,0,660,80
12,120,0,660,120
12,140,0,660,-60
12,160,0,660,60
12,180,0,660,-20
12,200,0,660,20
12,220,0,660,-100
12,240,0,660,100
12,260,2,640,100
12,280,2,640,-100
13,0,0,660,-120
13,20,0,660,-60
13,40,0,660,0
13,60,0,660,60
13,80,0,660,120
13,100,0,660,-90
13,120,0,660,-30
13,140,0,660,30
13,160,0,660,90
13,180,0,660,-70
13,200,0,660,70
13,240,3,660,0
13,280,3,660,-80
13,320,3,660,80
14,0,1,660,0
14,120,0,660,-120
14,140,0,660,-80
14,160,0,660,-40
14,180,0,660,0
14,200,0,660,40
14,220,0,660,80
14,240,0,660,120
14,260,0,660,-100
14,280,0,660,-60
14,300,0,660,-20
14,320,0,660,20
14,340,0,660,60
14,360,0,660,100
14,400,3,660,120
14,420,3,660,-120
15,0,0,660,-120
15,20,0,660,-80
15,40,0,660,-40
15,60,0,660,0
15,80,0,660,40
15,100,0,660,80
15,120,0,660,120
15,140,0,660,-60
15,160,0,660,60
15,180,0,660,-20
15,200,0,660,20
15,220,0,660,-100
15,240,0,660,100
15,260,3,660,120
15,280,3,660,-120
15,320,2,640,100
