Wave,Time,Type,X,Y
1,0,0,660,0
1,0,0,720,40
1,0,0,780,-20
1,0,0,840,60
1,0,3,900,-40
1,0,3,960,80
1,0,3,880,-120
1,0,2,-640,120
1,0,2,640,-200
1,0,2,0,-360
1,0,2,0,360
1,0,2,-300,-360
1,0,2,300,360
1,0,2,-639,0
1,0,2,639,0
2,0,0,660,0
2,0,0,720,80
2,0,0,780,-40
2,0,0,840,20
2,0,3,900,-160
2,0,3,960,120
2,0,3,880,-200
2,0,2,-640,-200
2,0,2,640,200
2,0,2,-200,360
2,0,2,200,-360
2,0,2,-639,160
2,0,2,639,-160
2,0,2,-300,360
2,0,2,300,-360
3,0,0,660,0
3,0,0,740,100
3,0,0,820,-80
3,0,3,900,160
3,0,3,960,-40
3,0,3,1020,120
3,0,2,-640,0
3,0,2,640,0
3,0,2,0,-360
3,0,2,0,360
3,0,2,-200,-360
3,0,2,200,360
3,0,2,-639,-120
3,0,2,639,120
3,0,2,-300,360
4,0,0,660,0
4,0,0,700,40
4,0,0,760,-20
4,0,3,900,120
4,0,3,960,-160
4,0,3,880,160
4,0,2,-640,-200
4,0,2,640,200
4,0,2,-300,-360
4,0,2,300,360
4,0,2,-639,200
4,0,2,639,-200
4,0,2,-100,360
4,0,2,100,-360
4,0,2,-500,360
5,0,0,660,0
5,0,0,720,80
5,0,0,780,-60
5,0,3,900,140
5,0,3,960,-120
5,0,3,880,40
5,0,1,1000,0
5,0,2,-640,200
5,0,2,640,-200
5,0,2,-200,360
5,0,2,200,-360
5,0,2,-639,160
5,0,2,639,-160
5,0,2,-300,360
5,0,2,300,-360
6,0,0,660,0
6,0,0,720,40
6,0,0,780,-20
6,0,3,900,120
6,0,3,960,-160
6,0,3,880,160
6,0,3,820,-120
6,0,3,700,200
6,0,3,760,-80
6,0,3,840,40
6,0,2,-640,-200
6,0,2,640,200
6,0,2,-640,100
6,0,2,640,-150
6,0,2,-640,-50
6,0,2,640,20
6,0,2,-640,300
6,0,2,640,-260
6,0,2,-200,-360
6,0,2,200,-360
6,0,2,-100,-360
6,0,2,100,-360
6,0,2,-300,360
6,0,2,300,360
6,0,2,-500,360
6,0,2,500,360
6,0,2,-639,0
6,0,2,639,0
6,0,2,-639,120
6,0,2,639,-120
6,0,2,-639,-200
6,0,2,639,200
7,0,0,660,0
7,0,0,720,80
7,0,0,780,-40
7,0,3,900,-160
7,0,3,960,120
7,0,3,880,-200
7,0,3,820,200
7,0,3,760,-120
7,0,3,700,160
7,0,3,840,-80
7,0,2,-640,-200
7,0,2,640,200
7,0,2,-640,150
7,0,2,640,-100
7,0,2,-640,-50
7,0,2,640,50
7,0,2,-200,-360
7,0,2,200,-360
7,0,2,-100,-360
7,0,2,100,-360
7,0,2,-300,360
7,0,2,300,360
7,0,2,-639,160
7,0,2,639,-160
7,0,2,-639,0
7,0,2,639,0
8,0,0,660,0
8,0,0,740,100
8,0,0,820,-80
8,0,3,900,160
8,0,3,960,-40
8,0,3,1020,120
8,0,3,880,-200
8,0,3,760,200
8,0,3,700,-160
8,0,3,840,40
8,0,2,-640,0
8,0,2,640,0
8,0,2,-640,200
8,0,2,640,-200
8,0,2,-640,-150
8,0,2,640,150
8,0,2,-200,-360
8,0,2,200,-360
8,0,2,-100,-360
8,0,2,100,-360
8,0,2,-300,360
8,0,2,300,360
8,0,2,-639,-120
8,0,2,639,120
9,0,0,660,0
9,0,0,700,40
9,0,0,760,-20
9,0,3,900,120
9,0,3,960,-160
9,0,3,880,160
9,0,3,820,-120
9,0,3,700,200
9,0,3,760,-80
9,0,3,840,40
9,0,2,-640,-200
9,0,2,640,200
9,0,2,-640,100
9,0,2,640,-100
9,0,2,-640,-50
9,0,2,640,50
9,0,2,-200,-360
9,0,2,200,-360
9,0,2,-100,-360
9,0,2,100,-360
9,0,2,-300,360
9,0,2,300,360
10,0,0,660,0
10,0,0,720,80
10,0,0,780,-60
10,0,3,900,140
10,0,3,960,-120
10,0,3,880,40
10,0,1,1000,0
10,0,2,-640,200
10,0,2,640,-200
10,0,2,-640,150
10,0,2,640,-150
10,0,2,-200,-360
10,0,2,200,-360
10,0,2,-100,-360
10,0,2,100,-360
10,0,2,-639,160
10,0,2,639,-160
10,0,2,-639,0
10,0,2,639,0
11,0,0,660,0
11,0,0,720,40
11,0,0,780,-20
11,0,3,900,120
11,0,3,960,-160
11,0,3,880,160
11,0,3,820,-120
11,0,3,700,200
11,0,3,760,-80
11,0,3,840,40
11,0,2,-640,-200
11,0,2,640,200
11,0,2,-640,150
11,0,2,640,-150
11,0,2,-640,-50
11,0,2,640,50
11,0,2,-640,300
11,0,2,640,-260
11,0,2,-200,-360
11,0,2,200,-360
11,0,2,-100,-360
11,0,2,100,-360
11,0,2,-300,360
11,0,2,300,360
11,0,2,-500,360
11,0,2,500,-360
11,0,2,-639,0
11,0,2,639,0
11,0,2,-639,120
11,0,2,639,-120
11,0,2,-639,-200
11,0,2,639,200
12,0,0,660,0
12,0,0,720,80
12,0,0,780,-40
12,0,3,900,-160
12,0,3,960,120
12,0,3,880,-200
12,0,3,820,200
12,0,3,760,-120
12,0,3,700,160
12,0,3,840,-80
12,0,2,-640,-200
12,0,2,640,200
12,0,2,-640,150
12,0,2,640,-150
12,0,2,-640,-50
12,0,2,640,50
12,0,2,-200,-360
12,0,2,200,-360
12,0,2,-100,-360
12,0,2,100,-360
12,0,2,-300,360
12,0,2,300,360
12,0,2,-639,160
12,0,2,639,-160
12,0,2,-639,0
12,0,2,639,0
13,0,0,660,0
13,0,0,740,100
13,0,0,820,-80
13,0,3,900,160
13,0,3,960,-40
13,0,3,1020,120
13,0,3,880,-200
13,0,3,760,200
13,0,3,700,-160
13,0,3,840,40
13,0,2,-640,0
13,0,2,640,0
13,0,2,-640,200
13,0,2,640,-200
13,0,2,-640,-150
