タグ名,画像の横幅,画像の縦幅,画像のパス
Player,16,16,_Texture/Chara/Player/player.png
Straight,24,24,_Texture/Bullet/Straight.png
Enemy1,64,64,_Texture/Chara/Enemy/enemy1.png
Enemy2,64,64,_Texture/Chara/Enemy/enemy2.png
Homing,24,24,_Texture/Bullet/Homing.png
BackGround1,256,128,_Texture/BackGround/BackGround1.png
BackGround2,256,128,_Texture/BackGround/BackGround2.png
HitEffect,32,32,_Texture/Effect/HitEffect.png
ExplosionEffect,32,32,_Texture/Effect/ExplosionEffect.png
HomingItem,24,24,_Texture/Item/HomingItem.png
Piercing,24,24,_Texture/Bullet/Piercing.png
PiercingItem,24,24,_Texture/Item/PiercingItem.png
